"Salud, alimentación y entornos saludables",Educación para la transformación,Revolución económica y de justicia para las mujeres,"Construyendo la revolución desde el amor, la sexualidad y la diversidad",Estado,Distrito
,Apoyo económico y legal a todos los maestros,,,EDOMEX,23
,Aumentar el número de beneficiarios de becas Benito Juárez,,,EDOMEX,23
,"Capacitación continua a los maestros, ya que hay maestros con baja capacidad de conocimientos",,,EDOMEX,23
,Fomentar la participación de padres de familia en el nuevo formato educativo para que estén informados,,,EDOMEX,23
,Generar un plan integral de calidad en materia de educación,,,EDOMEX,23
,Todas las propuestas que se mencionan en la papeleta,,,EDOMEX,23
Abrir más clínicas gratuitas en específico para San Andrés ,Se solicita una prepa en San Diego de los padres el proyecto ya está en proceso ,Vigilancia de los derechos laborales de las mujeres incrementar los permisos que tienen que ver con cuidado maternos,Programas de educación sexual en escuelas públicas ,EDOMEX,26
Ampliar los horarios de las clínicas públicas ,Sancionar a las escuelas que cobren inscripción ,Proponer acciones que eviten el techo de cristal ,Impulsar la educación en inclusión en la equidad de género y educación sexual ,EDOMEX,26
Más centros de salud y atención de dentistas ,Verificación del padrón de los beneficiarios de becas que se implementen talleres para prácticas y que se amplíe el presupuesto educación ,Quitar tantos protocolos cuando van las mujeres a hacer una denuncia y se proceda con más rapidez eficiencia evitando la revictimación,Apoyo para orientación y capacitación laboral e inclusión de la comunidad LGBTY acceso a universidades en diversas carreras de la salud ,EDOMEX,26
Que en todos los centros de esa estén los suministros suficientes medicamentos materiales quirúrgicos insumos necesarios para tratar todo tipo de enfermedades ,"Rechazo cero en universidades públicas y bachilleratos, a tarvés de la apmpliación y fortaleciemiento de la infraestructura consolidando alternativas ccomo laeducación virtual y a distancia. AMPIAR LA INFRAESTRUCTURA DE LA UNIVERSIDAD ROSARIO CASTELLANOS A NIVEL NACIONAL, QUE PREPA EN EN LINEA SEP DEJE DE SER UN PROGRAMA Y SEA UN SUBNIVEL EDUCATIVO EN LA EDUCACIÓN MEDIA SUPERIOR, CON RECURSOS PROPIOS; CREAR MÁS UNIVERSIDADES DEL BIENESTAR.",Erradicar el machismo la violencia además de concientizar a la sociedad de los derechos de las mujeres ,Categorizar la ley para sancionar la discriminación y el racismo ,EDOMEX,26
Ampliación y promoción del cuidado de la salud mental ,Apoyo a los estudiantes de grupos vulnerables como madres solteras poblaciones indígenas discapacidad ,Vigilancia en el cumplimiento  de la justicia para las mujeres y los niños ,Foros para sensibilizar a toda la sociedad e incluir a las personas de la comunidad LGBT ,EDOMEX,26
Apoyo a los médicos y enfermeras en temas de salud mental información con ética dotar de infraestructura equipos medicamento y personal a los hospitales públicos ,Apoyar el aprendizaje de lenguas indígenas ,Igualdad en el acceso a la educación apoyo a las ingenieras,Implementación en la secretaría de educación pública acerca de asignaturas que tengan que ver con ética moral educación sexual respeto a la diversidad ,EDOMEX,26
Equipar centros de salud y médicos de planta ,Considerar como prioritario él conocer las lenguas originarias en los niveles de iniciación en la educación ,Organizaciones que atiendan las problemáticas de las mujeres y que sean gratuitas ,Permitir el ingreso de la comunidad LGBT en el sector salud sin discriminación ,EDOMEX,26
No a los alimentos transgénicos se apoya el campo pero sobre todo que se les vigile que no utilicen pesticidas vigilar a las empresas qué elaboran los medicamento ,Implementar el sostenimiento total de la educación y que desaparezca la cuota escolar a principio del ciclo escolar que se reivindique la labor de los docentes ,Que en todas las dependencias exista un departamento de género y que los trámites sean más ágiles ,Es eso a los servicios de salud educación e inserción laboral sin discriminación a la comunidad LGBT ,EDOMEX,26
Que el servicio de salud sea para todos ,Becas para la educación de adultos mayores o personas que no terminaron sus estudios por falta de recursos ,Propiciar el cumplimiento de los derechos de las mujeres en el ámbito laboral el cuidado de estas en lugares públicos ,Legalizar el matrimonio entre parejas del mismo sexo ,EDOMEX,26
Sistema de salud universal ,Imitación con calidad y profesionalismo a los docentes y estudiantes inclusión de asignaturas de ética y geografía política ,Crear guarderías en pueblos originarios para mujeres trabajadoras y un centro de atención especializada para las mujeres indígena ,,EDOMEX,26
Prevención de adicciones de espacios para la y deportiva ,Que se reconozca la educación en casa se fortalezcan los aprendizajes en las aulas ,Propiciar leyes que permitan la igualdad y la equidad para el trabajo acceso a las mujeres ,,EDOMEX,26
Gratuidad a los servicios de salud para todos ,Proporcionar desayunos escolares en zonas vulnerables ,Qué se concientice a la comunidad para erradicar el machismo ,,EDOMEX,26
Capacitar a los médicos y sensibilizarlos de su labor ,Realizar una supervisión de los recursos destinados a las escuelas en cada comunidad otorgar de infraestructura adecuada a los niños y niñas ,Apoyar a las mujeres en proyectos emprendedores propios como las cooperativas ,,EDOMEX,26
Incrementar el número de centros ,Sancionar a las televisoras debido a la difamación de los libros de texto ,Garantizar educación y seguridad a todos los genes ,,EDOMEX,26
Centros de salud especializados en la atención del adulto mayor de gente con discapacidad programas de prevención de enfermedades como la diabetes hipertensión y obesidad ,Garantizar la educación pública a nivel licenciatura de manera obligatoria y gratuita ,Ampliar los apoyos a las mujeres trabajadores ,,EDOMEX,26
Quitar el uso de plaguicidas fertilizantes plásticos de artículos desechables ,Modificar la estructura de la educación a nivel nacional crear una nueva materia para emprendimiento a partir de la educación primaria hacia adelante ,Respeto hacia todas las mujeres y haz un derecho ,,EDOMEX,26
Un parque en San Diego linares en la calle almoloya de alquisiras ,Amplio de las universidades ,Apoyo a las mujeres con guarderías para que puedan trabajar y estudiar ,,EDOMEX,26
Laboratorios y farmacéuticos con precios más accesible ,Asegurar el ingreso a la educación de niños y niñas de bajos recursos que las universidades públicas sean realmente gratuitas ,Capacitación a los legisladores e impartidores de justicia sobre perspectiva de género repartición de la tarea de cuidados y equidad ampliación y divulgación del programa alerta de violencia de género ,,EDOMEX,26
Médicos con ética profesional ,Apoyar la salud mental mediante la atención psicológica en los centros escolares realizar cursos curriculares ,Talleres para las mujeres acerca de prevención de la violencia ,,EDOMEX,26
Seguro social para personas en extrema pobreza o grupos vulnerables ,En San Andrés necesitamos una universidad ,Promoción en las escuelas de nuevas masculinidades contra hegemónica ,,EDOMEX,26
Cuidado en la distribución de medicamento ,Ampliar los beneficios de becas ,Implementar un sistema de cuidados a las ciudadanas con tecnología seguridad protección sistema de búsqueda ,,EDOMEX,26
Promover la educación en alimentos saludables ,Solicitar antecedentes penales de las figuras que representan la sociedad de padres de familia ,Promover la cultura de la emancipación de la mujer desde niñas y grupos de mujeres indígenas ,,EDOMEX,26
Salud pública eficiente gratuita universal para todos los ciudadanos incluyendo a los pueblos indígenas ,Rescatar la lengua costumbres tradiciones en todas las comunidades ,Castigos más severos para la violencia doméstica y feminicidio ,,EDOMEX,26
Apoyos a las personas adultas con una despensa mensual ,Incrementar las escuelas de artes y oficios ,Que se legisle y se vigile a los funcionarios públicos destituyéndolo de sus cargos en caso de propiciar la violencia hacia las mujeres ,,EDOMEX,26
Sistema de salud universal ,Aumento del presupuesto de educa becas para los alumnos de bajo ,Justicia para las mujeres y hombres considerando la igualdad y la equidad ,,EDOMEX,26
Entender la salud mental de la población ,Programas escolares acorde a las necesidades del país haciendo eco a la oferta laboral actual ,Propiciar acciones de empoderamiento femenino capacitación en feminismo de izquierda a mujeres yo estoy en un cargo público ,,EDOMEX,26
Contar con más centros de salud incluyendo la atención de ,Mejorar los libros de texto ,Foros que promuevan el respeto la dignificación del ideología feminista e inclusiva para la comunidad LGBTT ,,EDOMEX,26
Apoyo a la producción de alimentos orgánicos fortaleciendo el campo con abonos orgánicos ,Incremento de las escuelas en cada población ,Mejores condiciones laborales para las mujeres considerando la igualdad en el salario ,,EDOMEX,26
Unidad deportiva alimentación orgánica dieta saludable medicina tradicional ,Que se dé un presupuesto para que las universidades realicen investigación que los estudiantes sean universitarios de calidad e infraestructura tecnológica para el aprendizaje ,Apenas más severas para los feminicidas y Ampliación del padrón de deudores alimentarios ,,EDOMEX,26
Construcción de hospitales en todas las comunidades para darle atención médica a la gente construir centros deportivos para que la familia y jóvenes hagan ejercicio ,Más becas a los alumnos a los niños y a las niñas y a los jóvenes de grupos vulnerables ,Educación para la igualdad ,,EDOMEX,26
Un centro de salud en San Diego de los padres ,Revisar las cuotas de inscripción y reinscripción de las universidades públicas y autónoma ,Sistema de atención a la violencia doméstica y seguimiento de los casos ,,EDOMEX,26
Unificar el sistema de salud dando enfoque preventivo y se se requiere una atención de segundo y tercer nivel ,Que no se paguen cuotas en las escuelas ,Convenios con las ONG que protegen a las mujeres toda mujer libre de violencia ,,EDOMEX,26
Ampliar los centros de salud ,Atención a los estudiantes con necesidades educativas especiales en educación especial y también a estudiantes sobresalientes ,Crear centros para la orientación de parejas y combatir la violencia intrafamiliar ,,EDOMEX,26
Combate a la corrupción paz y justicia campo y autosuficiencia alimentaria ,Mayor presupuesto y estructura a escuelas iniciales y mantenimiento a las escuelas que ya se tiene ,Estancias infantiles para las madres y padres ,,EDOMEX,26
Programa de apoyo para los enfermos de cancer,Transporte público para que los estudiantes puedan asistir a la escuela gratuito o de bajo costo capacitación a los maestros ,Apoyo económico a mujeres que comprueben que son el sostén económico del hogar guarderías que todas las empresas proporcionen todos los derechos a las mujeres ,,EDOMEX,26
