Salud alimentación y entornos saludables,Educación para la transformación,Revolución económica y de justicia para las mujeres,Construyendo la revolución desde el amor la sexualidad y la diversidad
"Considero que además de coordinar las instituciones de salud, se debe de hacer una supervisión de manejo de los hospitales. ¿De qué trato tienen hacia los pacientes, que es el adecuado y en una supervisión de instituciones donde no se proporcione nada",Que en los lugares más apartados y lejanos a las escuelas se les apoya a los estudiantes para que estudien y tengan las mismas oportunidades que los demás y seamos igualitarios en las mismas oportunidades. ,Establecer mecanismos que atiendan las problemáticas para que cada etapa de las personas adultas sea mejor. ,Dar pláticas a la juventud para que sean responsables de sus acciones al tener intimidad con otras personas y no hayan niños maltratados y abandonados por no querer hacerse responsables de sus actos. 
Que no se cobre el derecho a la salud o que sea mínimo para las personas de escasos recursos. ,No soy homofóbica. Pero creo que dejé de estar divulgando la homosexualidad porque confunden a los niños y a los jóvenes de hoy ya no saben qué son por la mala información. ,"En toda la actividad económica, social y política, incluir a las mujeres. ",Tomar en serio la igualdad de género. De hombre y de mujer para acabar con la desigualdad. 
"Quier persona que únicamente no pueda tener acceso a la salud, se le ayude para que pueda ser atendidos, que son personas que necesitan atención y no cuentan con esos recursos. ",Insisto. En construir centros culturales para jóvenes y adulto mayor. ,Implementar la cultura cívica de respeto y apoyo a la mujer. ,Sólo sé. Llega a profundizar estos temas. Tratando a las generaciones con respeto para que no discriminen en el futuro. 
"No queremos ancianos, tercos. Que te digan que hacer que se niegue.  ",Más ayuda para la educación. ,"Centros de atención para la mujer, así como para personal de atención psicológica. Sin la necesidad de de pagar. ","Que como personas no discriminen a nadie. Que nos veamos por igual, ya que todos somos seres humanos y nos debemos respeto. "
Apoyo a domicilio para las personas discapacitadas que están en casa sin poder salir. ,"Tomen en cuenta que no es lo mismo en todas las escuelas por los usos y costumbres se tiene que apoyar a toda la gente para llegar a las escuelas, no, ni a ni carreteras ni a nombrado, no hay en las poblaciones de la sierra de Oaxaca. ","Poner mucha atención en las escuelas, fomentando la igualdad de género. ",Tener una educación sexual. A temprana edad para no caer en complejos extraños. 
"Es muy importante difundir más los servicios de salud a raíz de que quitaron el seguro popular, la mayoría no sabe a dónde ir. ",Que la autoridad visite las comunidades hoy mucho analfabetismo todavía. ,"Apoyos para madres, ya que muchas madres no pueden trabajar por los bebés, son muy demandantes. ",No tener a personas con enfermedades sexuales. Que puedan cuidarse para no contagiar a las demás personas. 
Apoyo a domicilio para las personas discapacitadas que no pueden salir de su casa. ,Eliminar toda lógica neoliberal e individualista en el sistema educativo incluirá las universidades. ,"Más énfasis en las leyes para proteger a las mujeres. Del acoso sexual en el trabajo. No es feminismo, no es machismo, es equidad de género. ","Respetar cada género y no poner en pregunta o duda la sexualidad de alguien o andar explorando sin agradecer o agradarle a alguien del mismo género. Que cada quien haga lo que tenga que hacer, lo que le guste y que se acepte. "
Falta de medicamentos en los centros de salud. ,"El emprendimiento, una educación financiera. ",Abrir el campo laboral sin distracción de género y las remuneración equitativa. ,"Tener el derecho a un hogar, ya que varias personas pertenecientes a la comunidad gay las corren de sus casas porque según están en contra de la religión, son juzgados y merecen respeto. "
"Mejorar la medicina preventiva, hacer un programa de alimentación sana. O de comida sana, hacer un censo de padecimientos de atención urgente. ",Más preparación para los docentes. ,"Realizar talleres, pláticas, seminarios. Conferencias y orientaciones a un cambio de mentalidad machista, incluir en la concientización de la transformación de usos y costumbres en pueblos indígenas hoy. ","¿Todo está bien, pero mucha gente lo distorsiona al decir diversidad de género lo toman como si quisieran ser hombres las mujeres y las mujeres hombres y que den clases, que qué quiere decir? Diversidad de género para que no sigan diversificando o malentendiendo lo que es la diversidad. "
Abastecer de medicamentos los centros de salud. ,Enseñar a los niños adolescentes que tienen que respetar a la comunidad LGBT+.,"Que puedan impulsar cursos gratuitos para que puedan estudiar y tener un negocio propio como uñas, cortes de cabello, costura, etcétera. ",Los padres son una crianza desde los hijos y que ellos determinen sus diferencias. 
Hoy no a la falta de medicamentos en los centros de salud. ,"Todas las propuestas van de la mano, pero también depende de los padres y contribuir con esta, ya que la tecnología y el Internet no benefician del todo a las nuevas generaciones. ","Mejorar los resultados de justicia y también con los magistrados, que son los primeros en admitir las injusticias. ","Conocer e informarse sobre el tema, que es bastante difícil mediante el respeto por los gustos y vestimentas de los demás y de las demás personas, sugiero eventos conmemorativos a la comunidad gay, pero con el respeto como debe de ser hacia el tema. "
Sin importar si hay un seguro de por medio o no aplicar la justicia. ,"Que la educación superior sea más accesible para todas las personas y que no estén tan lejos. Janos, necesitamos instalaciones más cercanas por el tema de la seguridad. ",Igualdad en cuanto al trabajo para que pueda ser igual que el hombre. ,"Ser más educadores con una perspectiva de diversidad en derechos humanos, entender a las y los dirigentes en los temas de inclusión, ser pacientes e inclusivos con todas las personas en ámbitos federales y municipales. "
Seguridad y vales de medicina. ,Preparar y actualizar a los profesores que son portadores. Del conocimiento. ,Brindar más oportunidad de crecimiento profesional y económica sin oportunidad. De recibir acoso de cualquier tipo. ,"Reconoce en todo momento que los tiempos están cambiando, que existen personas con diferentes gustos y asumir estas diferencias a nuestros ojos y ayudar a que las futuras generaciones aprendan y respete. "
Si se pudiera contar con servicio a domicilio para las personas que están discapacitadas para salir de su casa y también un apoyo a las trabajadoras sociales. ,Preparar y actualizar correctamente a los profesores que son los portadores del conocimiento. ,"Sin que los. Machistas. Generen discusión, las mujeres llevaremos transformación. ","Ser pobres y sin miedo a su familia, amigos y muchas veces por la discriminación se suicidan o incluso los matan. Las personas que menos esperan. "
"Que se atienda la salud mental, que se ponga en atención. A las niñas y los niños en las escuelas. ",¿Qué estén más al pendiente en el tema de las aportaciones voluntarias? ¿Yo ese dinero nunca termino cómo se aclara y para qué se gasta? ,Ayudar en cuestión en pensiones para la mujer por parte del esposo y más guarderías para madres solteras. ,"Estoy en contra de la adopción de niños por parte de homosexuales y lesbianas. El hombre es hombre y mujer y mujer, y la reproducción es natural. "
Que en las escuelas simplemente una materia extra de medicina y salud para que todos tengamos un mínimo de conocimiento en medicina. ,"Los alumnos que no tienen lo suficiente no desayunan en el dif, intervenga con el establecimiento de desayuno escolar para todo el nivel básico. ","También que las empresas contraten con menor tiempo, ya que hay mamás solteras que no tenemos con quien dejar a nuestros hijos. ",Dejen de robarse el dinero. 
"Tener más empatía y facilidad en las urgencias médicas, ya que en algunas instituciones prefieren no atender la emergencia por no tener problemas. ",Trabajar la equidad de género. ,"Más seguridad en la calle y transportes públicos, ya que a veces no se dan las atenciones. ","Centro de atención psicológica, ya que por falta de salud mental no podemos incorporar algunas situaciones. O del contexto en problemas sociales. "
"Es necesario quitar las adicciones, En todos los rincones del país. ",Oportunidades a docentes recién egresados y poder adquirir la experiencia necesaria. ,"Aplicar NMX-025. En las organizaciones, abrir talleres con perspectiva de género. ","Incluir, pero no imponer, y también así como estos grupos de nuevos géneros existen el respeto que sea recíproco y respeten a los demás, sin forzar a que los demás quieran imponer sus ideologías. "
"Mejorar los sectores de salud y. El sector mental, psicología. ",Apoyar a los chicos que no tengan apoyo por el trabajo o por alguna situación. ,"Que se permiten más trabajos a empresas, lugares limpios y sanitarios para la lactancia materna y que y que para los trabajos donde la gente trabaja, siempre parados, puedan estar en momentos de tener un banco para sentar. ","Que no se pasen con las mujeres cuando busquen trabajo y para poder obtenerlo quieran pensar que son mejores que ellas, sino que se los ganen los puestos como debe de ser sin castigar a las personas. "
